horizon,forecast_vol_daily,forecast_vol_annual
1,0.01010242597424178,0.16037104059769897
2,0.010175280923569945,0.1615275770639142
3,0.010238127910384134,0.1625252420504748
4,0.010292393198511078,0.16338667679371777
5,0.010339286368721945,0.16413108279311003
6,0.010379836746022076,0.16477480007654594
7,0.010414922794562768,0.1653317738301056
8,0.01044529606759785,0.16581393459182897
9,0.010471600884922796,0.1662315106213777
10,0.010494390617746905,0.16659328641436688
11,0.010514141251128397,0.1669068179993475
12,0.010531262741130469,0.16717861322706967
13,0.0105461085706592,0.16741428346470658
14,0.010558983823019966,0.16761867175958928
15,0.010570152027699262,0.1677959615126242
16,0.010579840983261988,0.16794976891392174
17,0.010588247723681872,0.1680832217808479
18,0.010595542764127988,0.16819902695779537
19,0.010601873738209661,0.1682995280556568
20,0.010607368519467244,0.16838675500395436
21,0.010612137904400179,0.16846246664259007
22,0.010616277921731976,0.16852818738029066
